file,locatie,external_id,x_coord,y_coord,ground_elev,top_filter,bottom_filter
B40D2298002_1039_40D-2298002.csv,B40D2298,40D-2298002,190743.78,434015.66,971.0,743.0,499.0
B40D2299001_1039_40D-2299001.csv,B40D2299,40D-2299001,195073.92,431998.28,1122.0,944.0,680.0
B40D2302001_1039_B40D2302001.csv,B40D2302,B40D2302001,193947.39,436448.94,1058.0,788.0,692.0
B40D2304001_1039_B40D2304001.csv,B40D2304,B40D2304001,193764.0,436010.0,1017.0,797.0,652.0
B40D2305001_1039_B40D2305001.csv,B40D2305,B40D2305001,196442.0,434682.0,1092.0,892.0,743.0
HEM-P00-31001_1018_HEM-P00-31-1.csv,HEM-P00-31001,HEM-P00-31-1,175967.0,439215.0,0.0,-830.0,-1030.0
HEM-P00-31002_1018_HEM-P00-31-2.csv,HEM-P00-31002,HEM-P00-31-2,175967.0,439215.0,0.0,-3852.0,-4052.0
HEM-P00-31003_1018_HEM-P00-31-3.csv,HEM-P00-31003,HEM-P00-31-3,175967.0,439215.0,0.0,-5350.0,-5550.0
P39F0006006_1033_39F-0006001.csv,P39F0006,39F-0006001,176220.0,438510.0,788.0,764.0,514.0
P40B0010001_1029_40B-0010001.csv,P40B0010,40B-0010001,191061.0,440530.0,1065.4,1165.4,765.4
P40B0013001_1029_40B-0013001.csv,P40B0013,40B-0013001,191480.0,440350.0,932.0,812.0,612.0
