LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40A0449	184000	439750	Rijksdriehoeksmeting	40A		8.0		40AA3449	238	44			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Ag (mg/m3)	Al (mg/m3)	As (mg/m3)	B (mg/m3)	Ba (mg/m3)	Br- (g/m3)	Ca++ (g/m3)	Cd (mg/m3)	Cl- (g/m3)	Co (mg/m3)	Cr (mg/m3)	Cu (mg/m3)	DOC_C (g/m3)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg++ (g/m3)	Mn (g/m3)	NH4+_N (g/m3)	NO3-_N (g/m3)	Na+ (g/m3)	Ni (mg/m3)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	SO4-- (g/m3)	Sb (mg/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	TOC_C (g/m3)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Zn (mg/m3)	
B40A0449	20-08-1987	C1987-08-1110		nee	780.0	980.0	20-08-1987							75.4		17.5				1.26		44.41				7.71		229		0.89		6.73		0.03	<0.3	9.81		0.06			19.6										
B40A0449	20-08-1987	C1987-08-1111		nee	2300.0	2500.0	20-08-1987							35.7		7.88				<0.2		22.6				7.84		123		0.42		3.43		0.04	<0.3	6.49		0.06			2.64										
B40A0449	13-08-1986	C1986-08-1064		nee	2300.0	2500.0	13-08-1986							35.4		7.35				0.75		22.6				7.84		124		0.45		3.26		<0.01	<0.3	6.47		0.06			3.13										
B40A0449	13-08-1986	C1986-08-1063		nee	780.0	980.0	13-08-1986							82.4		17.1				1.69		47.8				7.82		245		1.03		7.29		<0.01	<0.3	10.1		0.07			25.5										
B40A0449	06-08-1985	C1985-08-1021		nee	780.0	980.0	06-08-1985							88.6		20.6				1.5		51.64				7.71		260		0.95		7.77		<0.01	<0.3	9.63		<0.06			31.9										
B40A0449	06-08-1985	C1985-08-1022		nee	2300.0	2500.0	06-08-1985							34.8		7.28				0.3		22.37				7.76		127		0.39		3.3		0.04	<0.3	6.07		<0.06			2.82										
B40A0449	18-06-1984	C1984-06-1087		nee	780.0	980.0	18-06-1984							99		20						56.5				7.68		282		1	0.8	8.4		0.08	<0.1	11		0.02	<0.01		38		6.2			1.3					
B40A0449	18-06-1984	C1984-06-1088		nee	2300.0	2500.0	18-06-1984							32		9						23.73				7.87		126		0.5	0.1	3.5		0.05	<0.1	7		0.02	0.01		2		6.2			<0.1					
B40A0449	12-09-1983	C1983-09-1042		nee	780.0	980.0	12-09-1983							102		20						50.85	80			7.72		256		1	1.6	8.8		<0.01	0.1	10		0.02	0.02		32		6			5			<6		
B40A0449	12-09-1983	C1983-09-1043		nee	2300.0	2500.0	12-09-1983							36		9						22.6	60			7.86		123		0.4	0.8	2.6		0.07	0.1	6		0.02	0.02		5		6			2			<6		
B40A0449	11-08-1982	C1982-08-8028		nee	2300.0	2500.0	11-08-1982	0.095					0.005				0.055																									0.028					<5	<0.1			
B40A0449	11-08-1982	C1982-08-8027		nee	780.0	980.0	11-08-1982						0.019				0.115																									0.024					21	0.08			
B40A0449	09-11-1981	C1981-11-1045		nee	2300.0	2500.0	09-11-1981							37		7						23.73	10			7.9		123		<1	0.4	3		0.14	0.2	5		0.03			8					1			<3		
B40A0449	09-11-1981	C1981-11-1044		nee	780.0	980.0	09-11-1981							99		19						57.63	20			7.8		280		1	0.4	7		0.08	<0.1	8		0.01			39					2			4		
B40A0449	10-12-1980	C1980-12-1022		nee	1195.0	1395.0	10-12-1980							76		27						46.33				7.4		211		1	2	7		0.58	0.1	8		0.03			22					3			<3		
B40A0449	10-12-1980	C1980-12-1021		nee	780.0	980.0	10-12-1980							89		26						50.85	<5			7.5		248		1	1.3	6		0.43	<0.1	9		0.03			32					4			<3		
B40A0449	10-12-1980	C1980-12-1023		nee	2300.0	2500.0	10-12-1980							36		11						23.73				7.3		124		<1	1	3		0.47	0.5	6		0.02			8					2			<3		
