LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40D0126	193288	435513	Rijksdriehoeksmeting	40D		9.6		40DA3126	272	41			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	As (mg/m3)	As (ug/l)	B (mg/m3)	Ba (mg/m3)	Ba (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC_C (g/m3)	EC (mS/m)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	Fe (mg/l)	H+ (-)	H+(5)_veld (-)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K (mg/l)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T-PO4 (mg/l)	TEMP-V (C)	TOC_C (g/m3)	TOTH (mmol/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	pH (-)	
B40D0126	02-08-1989	C1989-08-1009		nee	2260.0	2460.0	02-08-1989									115			11.9										67.01			7.01		7.63			398			2.4			13.7				1.05		<0.28		11.26			0.42	0.03				17.8														
B40D0126	22-06-1988	C1988-06-1275		nee	2260.0	2460.0	22-06-1988									112			12.3										66.1					7.27			393			2.46			13.7				1.01		<0.28		15.57			0.33					14.1														
B40D0126	22-06-1988	C1988-06-1274		nee	1110.0	1310.0	22-06-1988									160			41.2										91.3					7.2			400			5.36			16.56				1.28		<0.28		13.19			0.39					98.2														
B40D0126	20-08-1987	C1987-08-1115		nee	2260.0	2460.0	20-08-1987									113			13.8							1.9			66.67					7.2			398			2.39			14				0.89		<0.3		11.6			0.4					15														
B40D0126	20-08-1987	C1987-08-1114		nee	1110.0	1310.0	20-08-1987									159			47.5							1.63			91.53					7.17			401			5.17			16.8				1.25		<0.3		14.1			0.56					93.1														
B40D0126	13-08-1986	C1986-08-1067		nee	1110.0	1310.0	13-08-1986									159			42							2.82			89.83					7.34			393			5.55			16.8				<0.01		<0.3		13.5			0.65					93.7														
B40D0126	13-08-1986	C1986-08-1068		nee	2260.0	2460.0	13-08-1986									114			11.2							3.01			66.67					7.44			391			2.49			13.7				<0.01		<0.3		11.4			0.52					17.1														
B40D0126	07-08-1985	C1985-08-1027		nee	1110.0	1310.0	07-08-1985									157			43.8							1.8			89.83					7.21			398			5.4			16.5				1.2		<0.3		13.4			0.06					91.7														
B40D0126	07-08-1985	C1985-08-1028		nee	2260.0	2460.0	07-08-1985									117			10.9							1.4			65.31					7.33			398			2.6			13.8				1.04		<0.3		11.5			0.06					19														
B40D0126	19-06-1984	C1984-06-1116		nee	2260.0	2460.0	19-06-1984									110			11										64.41					7.25			387			2.3	3.7		13				1.06		<0.1		12			0.43	<0.01				17	7.6					0.9								
B40D0126	19-06-1984	C1984-06-1115		nee	1110.0	1310.0	19-06-1984									170			43										87.01					7.22			387			5.3	1.9		16				1.29		<0.1		14			0.48	<0.01				95	8.2					0.4								
B40D0126	26-08-1983	C1983-08-1161		nee	2260.0	2460.0	26-08-1983									117			11										63.28	70				7.38			401			2.4	7.2		16.6				1.04		<0.1		12			0.49	0.01				22	8.2					2		<5		<6				
B40D0126	26-08-1983	C1983-08-1160		nee	1110.0	1310.0	26-08-1983									148			42										85.88	45				7.35			398			5.7	4.4		19.6				1.26		<0.1		14			0.56	0.01				90	8.6					1		24		<6				
B40D0126	08-12-1980	C1980-12-1009		nee	1110.0	1310.0	08-12-1980									165			46										93.79	<5				7			400			5	5.2		11				2		0.1		18			0.57					90						2				<3				
B40D0126	08-12-1980	C1980-12-1010		nee	1520.0	1720.0	08-12-1980									145			32										83.62					7.1			390			5	7		9				1.6		0.1		11			0.51					75						4				<3				
B40D0126	08-12-1980	C1980-12-1011		nee	2260.0	2460.0	08-12-1980									115			11										66.67					7.3			400			2	3.1		8				1.4		<0.1		12			0.2					13						5				40				
